Periodo 1n,Periodo 2n,Periodo 3n,Periodo 4n,Periodo 1np,Periodo 2np,Periodo 3np,Periodo 4np,Periodo 1r,Periodo 2r,Periodo 3r,Periodo 4r,Periodo 1rp,Periodo 2rp,Periodo 3rp,Periodo 4rp
-1.046511628,0.686440678,0.915254237,1.459459459,-1.162790698,0.177966102,0.152542373,0.783783784,-1.2,0.581,0.5,1.125,-1.429,0.192,0.105,0.817
-0.79787234,-0.427007299,-0.669230769,0.193548387,-1.063829787,-0.576642336,-0.907692308,-0.172043011,-0.667,-0.645,-0.637,0.194,-1,-0.981,-0.975,-0.211
-0.523584906,0.575892857,2.146153846,-0.276785714,-0.801886792,0.160714286,1.384615385,-0.666666667,-0.477,0.601,1.771,-0.212,-0.837,0.214,1.667,-0.599
0.979166667,0.016304348,0.046875,0.230769231,0.486111111,-0.152173913,-0.34375,-0.115384615,0.989,0.033,0.041,0.25,0.654,-0.368,-0.361,-0.154
0.731012658,0.9,0.794117647,1.090909091,0.348101266,0.4,0.37254902,0.590909091,0.933,0.857,0.915,1.143,0.588,0.5,0.567,0.839
-0.197368421,-0.306818182,0.188976378,-0.3,-0.302631579,-0.511363636,0.023622047,-0.528571429,-0.476,-0.4,0.471,-0.359,-0.836,-0.769,0.074,-0.733
0,0.371287129,1.366666667,0.154205607,-0.275590551,0,0.311111111,-0.037383178,0,0.4,0.55,0.31,-0.4,0,0.159,-0.093
0.529411765,0,0,0,-0.058823529,-0.3,-0.268817204,-0.304878049,0.353,0,0,0,-0.049,-0.4,-0.4,-0.4
0.051369863,0.070754717,0,0.015957447,-0.273972603,-0.471698113,-0.294117647,-0.255319149,0.054,0.044,0,0.02,-0.348,-0.357,-0.4,-0.381
-0.9375,0.401785714,0.068181818,0,-1.1875,0.089285714,-0.318181818,-0.260869565,-0.769,0.545,0.061,0,-1.086,0.154,-0.341,-0.4
-0.774418605,-1.309322034,0.050847458,1.378378378,-0.91627907,-1.474576271,-0.474576271,0.621621622,-0.953,-1.138,0.033,0.872,-1.235,-1.381,-0.368,0.517
0.598404255,-0.054744526,0.75,0.483870968,0.239361702,-0.364963504,0.230769231,0.053763441,0.769,-0.057,0.634,0.462,0.4,-0.455,0.25,0.065
0.04245283,0.294642857,0.138461538,-0.821428571,-0.122641509,-0.017857143,-0.446153846,-0.964285714,0.09,0.373,0.082,-0.979,-0.313,-0.028,-0.32,-1.256
-0.708333333,-1.565217391,0.1640625,0.634615385,-0.972222222,-1.826086957,-0.078125,0.076923077,-0.618,-1,0.255,0.468,-0.959,-1.273,-0.149,0.071
0.075949367,0.441176471,0.411764706,1.363636364,-0.329113924,0.058823529,0.078431373,0.545454545,0.065,0.476,0.519,0.769,-0.338,0.08,0.125,0.4
-0.157894737,-0.698863636,-0.720472441,0.664285714,-0.486842105,-0.840909091,-1.244094488,0.1,-0.148,-0.901,-0.373,0.488,-0.54,-1.194,-0.745,0.093
-0.200787402,0.089108911,2.5,-1.191588785,-0.566929134,-0.069306931,1.511111111,-1.429906542,-0.167,0.207,1.456,-0.909,-0.558,-0.197,1.236,-1.2
1.235294118,-0.375,-0.193548387,-0.109756098,0.529411765,-0.65,-0.483870968,-0.402439024,0.824,-0.37,-0.2,-0.118,0.462,-0.743,-0.588,-0.512
-1.654109589,-0.014150943,0,0.159574468,-1.753424658,-0.226415094,-0.392156863,-0.265957447,-1.47,-0.022,0,0.133,-1.631,-0.421,-0.4,-0.27
-0.121875,0,0.204545455,0.065217391,-0.175,-0.401785714,-0.181818182,-0.347826087,-0.553,0,0.194,0.054,-0.903,-0.4,-0.211,-0.348
0.446511628,0.457627119,0.991525424,2.027027027,0.162790698,0.186440678,0.627118644,0.837837838,0.711,0.783,1.66,0.794,0.335,0.415,1.51,0.428
-0.35106383,-0.394160584,0.115384615,0.241935484,-0.542553191,-0.642335766,-0.192307692,-0.268817204,-0.468,-0.419,0.133,0.171,-0.829,-0.786,-0.27,-0.233
-0.304245283,-0.65625,0.023076923,-0.151785714,-0.599056604,-1,-0.4,-0.202380952,-0.294,-0.483,0.018,-0.667,-0.674,-0.842,-0.382,-1
1.8125,0.766304348,0.1875,0.288461538,0.875,0.456521739,-0.3125,-0.192307692,0.951,1.403,0.133,0.222,0.609,1.167,-0.27,-0.182
-0.825949367,0.052941176,-0.617647059,0,-1.03164557,-0.529411765,-1.058823529,-0.5,-0.802,0.031,-0.378,0,-1.113,-0.37,-0.75,-0.4
0.296052632,-0.017045455,0.248031496,0.407142857,-0.25,-0.329545455,0.031496063,-0.057142857,0.199,-0.018,0.472,0.342,-0.205,-0.417,0.075,-0.06
-0.366141732,-0.222772277,1.2,0.448598131,-0.535433071,-0.772277228,0.555555556,0.074766355,-0.53,-0.127,0.9,0.5,-0.883,-0.52,0.549,0.105
0.441176471,0.3,0.322580645,0,0,-0.1,-0.161290323,-0.365853659,0.4,0.286,0.25,0,0,-0.118,-0.154,-0.4
0,0.297169811,-0.058823529,-0.127659574,-0.04109589,-0.066037736,-0.352941176,-0.446808511,0,0.316,-0.065,-0.125,-0.4,-0.087,-0.462,-0.519
0.2625,-0.053571429,0.068181818,0.065217391,-0.16875,-0.455357143,-0.272727273,-0.304347826,0.226,-0.043,0.069,0.061,-0.178,-0.442,-0.333,-0.341
