Periodo 5n,Periodo 6n,Periodo 7n,Periodo 8n,Periodo 5np,Periodo 6np,Periodo 7np,Periodo 8np,Periodo 5r,Periodo 6r,Periodo 7r,Periodo 8r,Periodo 5rp,Periodo 6rp,Periodo 7rp,Periodo 8rp
0.305389222,0.339622642,0.152173913,0.75,0.065868263,-0.08490566,-0.101449275,0.333333333,0.53968254,0.307692308,0.222222222,0.857142857,0.147651007,-0.095238095,-0.181818182,0.5
0.229591837,0.994736842,-0.06,1.272727273,0.025510204,0.452631579,-0.4,0.621212121,0.461538462,0.881118881,-0.057142857,0.965517241,0.064516129,0.527607362,-0.454545455,0.625954198
0.585365854,0.6,1.11,-0.8,0.195121951,0,0.5,-1.266666667,0.666666667,0.4,0.870588235,-0.444444444,0.285714286,0,0.515463918,-0.808510638
-0.085714286,0.508928571,-0.594339623,0.15,-0.271428571,0.160714286,-0.867924528,-0.333333333,-0.142857143,0.644067797,-0.53164557,0.109090909,-0.535211268,0.260869565,-0.884615385,-0.294117647
1.436842105,0.56557377,0.9,1.333333333,0.726315789,0.131147541,0.425,0.722222222,1.016759777,0.554216867,0.923076923,1.142857143,0.686567164,0.163265306,0.576271186,0.838709677
0.476190476,0.263157895,0.214285714,0.857142857,0.111111111,-0.122807018,-0.166666667,0.333333333,0.555555556,0.256410256,0.206896552,0.75,0.164705882,-0.147368421,-0.197183099,0.378378378
0.367924528,0.235955056,0.396226415,0,-0.018867925,-0.08988764,-0.132075472,-0.307692308,0.376811594,0.274509804,0.285714286,0,-0.024096386,-0.129032258,-0.117647059,-0.4
0,0,0.052447552,0.14516129,-0.487804878,-0.253164557,-0.104895105,-0.204301075,0,0,0.117647059,0.148760331,-0.4,-0.4,-0.285714286,-0.255033557
-0.169172932,0,0.12295082,0.266666667,-0.526315789,-0.443037975,-0.245901639,-0.088888889,-0.146341463,0,0.117647059,0.285714286,-0.538461538,-0.4,-0.285714286,-0.117647059
0.182926829,0.633802817,0.087209302,0.401785714,-0.304878049,0.14084507,-0.23255814,-0.089285714,0.133333333,0.545454545,0.095238095,0.315789474,-0.27027027,0.153846154,-0.307692308,-0.086956522
