Subjuego,Periodo,EA,BO1,BOP1,BA1,BAP1,EB,EC,EA1
1,1,100,25,16.66666667,50,33.33333333,86,29,100
1,2,33,60,40,51,34,71,14,33
1,3,27,45,30,39,26,30,2,27
1,4,7,25,16.66666667,19,12.66666667,11,19,7
2,5,23,40,26.66666667,34.33333333,22.88888889,54,90,23
2,6,33,45,30,41,27.33333333,26,47,33
2,7,14,17.5,11.66666667,16.33333333,10.88888889,25,30,14
2,8,7,17.5,11.66666667,14,9.333333333,26,9,7
1,1,100,50,33.33333333,66.66666667,44.44444444,30,58,100
1,2,40,20.5,13.66666667,27,18,45,52,40
1,3,60,31,20.66666667,40.66666667,27.11111111,35,35,60
1,4,28,34,22.66666667,32,21.33333333,25,40,28
2,5,25,40,26.66666667,35,23.33333333,89,82,25
2,6,20,51.5,34.33333333,41,27.33333333,19,56,20
2,7,45,42.5,28.33333333,43.33333333,28.88888889,63,17,45
2,8,15,43,28.66666667,33.66666667,22.44444444,27,24,15
1,1,96,59,39.33333333,71.33333333,47.55555556,32,84,96
1,2,25,46.5,31,39.33333333,26.22222222,24,63,25
1,3,3,49.5,33,34,22.66666667,35,27,3
1,4,81,65.5,43.66666667,70.66666667,47.11111111,70,17,81
2,5,16,32,21.33333333,26.66666667,17.77777778,60,6,16
2,6,32,48,32,42.66666667,28.44444444,25,23,32
2,7,12,30.5,20.33333333,24.33333333,16.22222222,22,16,12
2,8,55,35,23.33333333,41.66666667,27.77777778,14,6,55
1,1,12,35.5,23.66666667,27.66666667,18.44444444,36,24,12
1,2,15,15.5,10.33333333,15.33333333,10.22222222,72,5,15
1,3,24,25,16.66666667,24.66666667,16.44444444,12,28,24
1,4,14,18,12,16.66666667,11.11111111,18,20,14
2,5,15,13,8.666666667,13.66666667,9.111111111,35,20,15
2,6,10,19.5,13,16.33333333,10.88888889,25,21,10
2,7,25,14.5,9.666666667,18,12,15,13,25
2,8,13,14.5,9.666666667,14,9.333333333,9,8,13
1,1,22,60.5,40.33333333,47.66666667,31.77777778,60,76,22
1,2,17,42.5,28.33333333,34,22.66666667,20,48,17
1,3,8,21.5,14.33333333,17,11.33333333,10,33,8
1,4,3,11,7.333333333,8.333333333,5.555555556,8,11,3
2,5,22,67.5,45,52.33333333,34.88888889,8,65,22
2,6,15,26.5,17.66666667,22.66666667,15.11111111,35,11,15
2,7,7,19,12.66666667,15,10,15,18,7
2,8,3,11,7.333333333,8.333333333,5.555555556,5,10,3
1,1,13,8,5.333333333,9.666666667,6.444444444,29,34,13
1,2,27,18,12,21,14,33,28,27
1,3,13,21,14,18.33333333,12.22222222,97,17,13
1,4,23,16,10.66666667,18.33333333,12.22222222,24,23,23
2,5,13,23,15.33333333,19.66666667,13.11111111,12,38,13
2,6,17,22,14.66666667,20.33333333,13.55555556,25,15,17
2,7,13,16,10.66666667,15,10,7,22,13
2,8,5,11,7.333333333,9,6,4,12,5
1,1,35,35,23.33333333,35,23.33333333,55,37,35
1,2,25,37.5,25,33.33333333,22.22222222,13,63,25
1,3,27,47.5,31.66666667,40.66666667,27.11111111,7,11,27
1,4,15,20.5,13.66666667,18.66666667,12.44444444,68,24,15
2,5,28,41,27.33333333,36.66666667,24.44444444,58,20,28
2,6,22,29,19.33333333,26.66666667,17.77777778,32,35,22
2,7,21,28,18.66666667,25.66666667,17.11111111,14,18,21
2,8,20,20,13.33333333,20,13.33333333,10,35,20
1,1,35,50,33.33333333,45,30,25,25,35
1,2,30,30,20,30,20,40,30,30
1,3,25,25,16.66666667,25,16.66666667,33,35,25
1,4,25,25,16.66666667,25,16.66666667,27,30,25
2,5,40,40,26.66666667,40,26.66666667,26,16,40
2,6,20,20,13.33333333,20,13.33333333,35,24,20
2,7,20,22.5,15,21.66666667,14.44444444,45,78,20
2,8,28,32.5,21.66666667,31,20.66666667,14,51,28
1,1,45,47.5,31.66666667,46.66666667,31.11111111,95,6,45
1,2,55,57.5,38.33333333,56.66666667,37.77777778,23,28,55
1,3,30,30,20,30,20,40,32,30
1,4,25,25.5,17,25.33333333,16.88888889,35,34,25
2,5,55,47.5,31.66666667,50,33.33333333,60,18,55
2,6,35,35,23.33333333,35,23.33333333,24,20,35
2,7,20,22.5,15,21.66666667,14.44444444,22,19,20
2,8,12,16,10.66666667,14.66666667,9.777777778,17,16,12
1,1,90,40,26.66666667,56.66666667,37.77777778,15,55,90
1,2,20,35,23.33333333,30,20,45,47,20
1,3,40,42.5,28.33333333,41.66666667,27.77777778,35,35,40
1,4,30,30,20,30,20,45,40,30
2,5,35,40,26.66666667,38.33333333,25.55555556,15,32,35
2,6,20,35,23.33333333,30,20,23,28,20
2,7,25,27.5,18.33333333,26.66666667,17.77777778,18,43,25
2,8,20,27.5,18.33333333,25,16.66666667,21,15,20
