Nuevo,Periodo,Periodo2,MOT-1,EA
0,1,1,50,100
0,2,4,57.5,33
0,3,9,42.5,27
0,4,16,16,7
1,5,25,15,23
0,6,36,72,33
0,7,49,36.5,14
0,8,64,27.5,7
0,1,1,50,100
0,2,4,44,40
0,3,9,48.5,60
0,4,16,35,28
1,5,25,32.5,25
0,6,36,85.5,20
0,7,49,37.5,45
0,8,64,40,15
0,1,1,50,96
0,2,4,58,25
0,3,9,43.5,3
0,4,16,31,81
1,5,25,43.5,16
0,6,36,33,32
0,7,49,24,12
0,8,64,19,55
0,1,1,50,12
0,2,4,30,15
0,3,9,38.5,24
0,4,16,20,14
1,5,25,19,15
0,6,36,27.5,10
0,7,49,23,25
0,8,64,14,13
0,1,1,50,22
0,2,4,68,17
0,3,9,34,8
0,4,16,21.5,3
1,5,25,9.5,22
0,6,36,36.5,15
0,7,49,23,7
0,8,64,16.5,3
0,1,1,50,13
0,2,4,31.5,27
0,3,9,30.5,13
0,4,16,57,23
1,5,25,23.5,13
0,6,36,25,17
0,7,49,20,13
0,8,64,14.5,5
0,1,1,50,35
0,2,4,46,25
0,3,9,38,27
0,4,16,9,15
1,5,25,46,28
0,6,36,39,22
0,7,49,33.5,21
0,8,64,16,20
0,1,1,50,35
0,2,4,25,30
0,3,9,35,25
0,4,16,34,25
1,5,25,28.5,40
0,6,36,21,20
0,7,49,29.5,20
0,8,64,61.5,28
0,1,1,50,45
0,2,4,50.5,55
0,3,9,25.5,30
0,4,16,36,25
1,5,25,34.5,55
0,6,36,39,35
0,7,49,22,20
0,8,64,20.5,12
0,1,1,50,90
0,2,4,35,20
0,3,9,46,40
0,4,16,35,30
1,5,25,42.5,35
0,6,36,23.5,20
0,7,49,25.5,25
0,8,64,30.5,20
