Nuevo,Periodo,Periodo2,MOT.1,EBCS.1,EA
1,5,25,15,38.33333333,23
0,6,36,72,28.33333333,33
0,7,49,36.5,10.66666667,14
0,8,64,27.5,10,7
1,5,25,32.5,29.33333333,25
0,6,36,85.5,32.33333333,20
0,7,49,37.5,23.33333333,45
0,8,64,40,21.66666667,15
1,5,25,43.5,38.66666667,16
0,6,36,33,29,32
0,7,49,24,20.66666667,12
0,8,64,19,29,55
1,5,25,19,20,15
0,6,36,27.5,25.66666667,10
0,7,49,23,13.33333333,25
0,8,64,14,12.66666667,13
1,5,25,9.5,45.33333333,22
0,6,36,36.5,22.66666667,15
0,7,49,23,14.33333333,7
0,8,64,16.5,6.333333333,3
1,5,25,23.5,21,13
0,6,36,25,20.33333333,17
0,7,49,20,38,13
0,8,64,14.5,15.66666667,5
1,5,25,46,30.66666667,28
0,6,36,39,25.33333333,22
0,7,49,33.5,6,21
0,8,64,16,30.66666667,20
1,5,25,28.5,16.66666667,40
0,6,36,21,23.33333333,20
0,7,49,29.5,22.66666667,20
0,8,64,61.5,19,28
1,5,25,34.5,33.66666667,55
0,6,36,39,17,35
0,7,49,22,24,20
0,8,64,20.5,23,12
1,5,25,42.5,23.33333333,35
0,6,36,23.5,30.66666667,20
0,7,49,25.5,23.33333333,25
0,8,64,30.5,28.33333333,20
